cell-type	jsd_median	jsd_lower	jsd_upper	corr_median	corr_lower	corr_upper	cell_class	neuron_type	n.umi	ele_gini	bri_gini	elegans_genes_detected_0.05	elegans_genes_detected_0.10	elegans_genes_maybe_0.05	elegans_genes_maybe_0.10	elegans_genes_ci_detected	elegans_cell_count	briggsae_genes_detected_0.05	briggsae_genes_detected_0.10	briggsae_genes_maybe_0.05	briggsae_genes_maybe_0.10	briggsae_genes_ci_detected	briggsae_cell_count	both_genes_detected_0.05	both_genes_maybe_0.05	both_genes_ci_detected	either_genes_detected_0.05	either_genes_maybe_0.05	either_genes_ci_detected	btwn_species_deg	deg_over_expressed_0.05	deg_over_expressed_0.10	deg_over_expressed_boot	num_elegans_markers	num_briggsae_markers	num_shared_markers	num_markers_in_either_with_species_specific_included	num_elegans_markers_just_common_genes	num_briggsae_markers_ust_common_genes	num_elegans_markers_just_private_genes	num_bri_markers_just_private_genes	num_either_markers_just_common_genes
germline	germline	0.332969849744513	0.333014013656006	0.336468856594572	0.892370425293238	0.892408995520183	0.895060400064197	Germline	NA	7383.61271676301	0.857628741577855	0.869441224269849	6051	5254	6706	5565	12011	1309	6869	5604	7469	5965	14392	2324	4890	5312	9002	6132	6659	11056	552	0.0912245909766981	0.105062809288161	0.0459578719507118	897	575	240	1232	738	447	159	128	945
BWM_headrow1	BWM_headrow1	0.338075679247957	0.338099779040343	0.340716717646097	0.867220291977658	0.867244972680596	0.868697310212973	Muscle and mesoderm	NA	1637.30913012221	0.908478476063465	0.908460113512092	3638	2115	4192	2451	10913	3734	3257	1793	3840	2157	10863	3221	2367	2872	7984	3970	4475	9726	448	0.137549892539146	0.249860568878974	0.0412409095093436	254	239	116	377	230	226	24	13	340
BWM_headrow2	BWM_headrow2	0.346398486756442	0.346448643597781	0.351142017539356	0.835781031019538	0.835832811649536	0.839548694266504	Muscle and mesoderm	NA	1371.2308984047	0.918813429110628	0.91888087283121	2967	1648	4356	2475	7288	598	2350	1213	3641	1931	6961	593	1732	2796	5425	3158	4485	7020	386	0.164255319148936	0.318219291014015	0.0554518029018819	225	250	110	365	204	227	21	23	321
P_cells	P_cells	0.346687680016607	0.346729093793481	0.351281440551838	0.853978434113368	0.854019196235338	0.85633183434981	Hypodermis and seam	NA	2303.06874287885	0.919153072641734	0.915272603347262	3921	2289	4608	2754	10956	2744	3695	2107	4441	2546	11094	2522	2689	3268	8052	4260	4944	9827	377	0.102029769959405	0.178927384907451	0.0344103687477181	361	310	212	459	330	286	31	24	404
pm3_pm4_pm5c	pm3_pm4_pm5c	0.348277692062897	0.342194657386399	0.356126688817352	0.822905257594336	0.816552316228109	0.828304680948017	Pharynx	NA	2431.78791208791	0.889030473796197	0.901443878430541	4057	2521	6067	3937	8035	331	4163	2593	5555	3651	8843	579	2964	4422	6348	4579	6056	8227	357	0.0879960561991619	0.141610472034907	0.0444306160547604	299	303	162	440	277	277	22	26	392
hyp7_AB_lineage	hyp7_AB_lineage	0.350753548561051	0.350844912469571	0.355743692058984	0.844874696695175	0.844939578874985	0.847938957563057	Hypodermis and seam	NA	2976.42340188108	0.905034419383469	0.905376590497781	4895	3165	5562	3681	11910	2762	4642	2905	5207	3383	12482	3511	3502	4015	8734	5125	5679	10580	376	0.0809995691512279	0.129432013769363	0.0315701091519731	355	305	196	464	323	282	32	23	409
pm7	pm7	0.356377729217944	0.35135884357244	0.362615947006157	0.809101351667352	0.803144140899159	0.814795115815685	Pharynx	NA	1636.8246628131	0.898443242870599	0.896854856571736	3360	1969	5826	3705	6274	198	3502	1920	5273	3381	6951	321	2384	4184	5004	3951	5811	6705	365	0.108630952380952	0.190104166666667	0.0581766018489002	269	251	142	378	248	233	21	18	339
hyp4_hyp5_hyp6	hyp4_hyp5_hyp6	0.358972531431541	0.359062540980418	0.364204094657972	0.838120685028507	0.838197179266911	0.841764515067582	Hypodermis and seam	NA	2729.64873254009	0.912204388414011	0.909842381021576	4206	2592	5483	3446	9254	840	4240	2551	5278	3339	10024	1093	3021	3986	7121	4647	5700	8980	384	0.0912981455064194	0.150529204233634	0.0414955694834666	404	355	220	539	366	325	38	30	471
hyp7_C_lineage	hyp7_C_lineage	0.359290810032724	0.359354145083682	0.363450344424112	0.843645446998649	0.843694362405466	0.846151269751327	Hypodermis and seam	NA	3894.565175922	0.909223925978608	0.901011209090029	5370	3607	5905	4019	13073	4127	5544	3906	5963	4290	14231	5309	4087	4485	9562	5690	6087	11289	330	0.0614525139664804	0.0914887718325478	0.0252428669777404	324	287	171	440	287	258	37	29	374
Intestine_middle_and_posterior	Intestine_middle_and_posterior	0.360969792745912	0.361058280631087	0.365163538362847	0.857040627851135	0.857076881457701	0.859072859657044	Intestine	NA	9740.15964101169	0.919844348659808	0.905075791666491	6654	5404	7085	5805	12697	2479	7071	5661	7906	6327	12686	1198	5135	5563	9165	6784	7293	10778	429	0.0644724977457169	0.0793856402664693	0.0338168059277944	639	593	349	883	536	518	103	75	705
